# Authoritative Xbox kernel export ordinals (from nxdk xboxkrnl.exe.def).
# Regenerate with tools/kernelaudit/make_ref.py. Do not hand-edit.
ordinal,name,kind
1,AvGetSavedDataAddress,func
2,AvSendTVEncoderOption,func
3,AvSetDisplayMode,func
4,AvSetSavedDataAddress,func
5,DbgBreakPoint,func
6,DbgBreakPointWithStatus,func
7,DbgLoadImageSymbols,func
8,DbgPrint,func
9,HalReadSMCTrayState,func
10,DbgPrompt,func
11,DbgUnLoadImageSymbols,func
12,ExAcquireReadWriteLockExclusive,func
13,ExAcquireReadWriteLockShared,func
14,ExAllocatePool,func
15,ExAllocatePoolWithTag,func
16,ExEventObjectType,data
17,ExFreePool,func
18,ExInitializeReadWriteLock,func
19,ExInterlockedAddLargeInteger,func
20,ExInterlockedAddLargeStatistic,func
21,ExInterlockedCompareExchange64,func
22,ExMutantObjectType,data
23,ExQueryPoolBlockSize,func
24,ExQueryNonVolatileSetting,func
25,ExReadWriteRefurbInfo,func
26,ExRaiseException,func
27,ExRaiseStatus,func
28,ExReleaseReadWriteLock,func
29,ExSaveNonVolatileSetting,func
30,ExSemaphoreObjectType,data
31,ExTimerObjectType,data
32,ExfInterlockedInsertHeadList,func
33,ExfInterlockedInsertTailList,func
34,ExfInterlockedRemoveHeadList,func
35,FscGetCacheSize,func
36,FscInvalidateIdleBlocks,func
37,FscSetCacheSize,func
38,HalClearSoftwareInterrupt,func
39,HalDisableSystemInterrupt,func
40,HalDiskCachePartitionCount,data
41,HalDiskModelNumber,data
42,HalDiskSerialNumber,data
43,HalEnableSystemInterrupt,func
44,HalGetInterruptVector,func
45,HalReadSMBusValue,func
46,HalReadWritePCISpace,func
47,HalRegisterShutdownNotification,func
48,HalRequestSoftwareInterrupt,func
49,HalReturnToFirmware,func
50,HalWriteSMBusValue,func
51,InterlockedCompareExchange,func
52,InterlockedDecrement,func
53,InterlockedIncrement,func
54,InterlockedExchange,func
55,InterlockedExchangeAdd,func
56,InterlockedFlushSList,func
57,InterlockedPopEntrySList,func
58,InterlockedPushEntrySList,func
59,IoAllocateIrp,func
60,IoBuildAsynchronousFsdRequest,func
61,IoBuildDeviceIoControlRequest,func
62,IoBuildSynchronousFsdRequest,func
63,IoCheckShareAccess,func
64,IoCompletionObjectType,data
65,IoCreateDevice,func
66,IoCreateFile,func
67,IoCreateSymbolicLink,func
68,IoDeleteDevice,func
69,IoDeleteSymbolicLink,func
70,IoDeviceObjectType,data
71,IoFileObjectType,data
72,IoFreeIrp,func
73,IoInitializeIrp,func
74,IoInvalidDeviceRequest,func
75,IoQueryFileInformation,func
76,IoQueryVolumeInformation,func
77,IoQueueThreadIrp,func
78,IoRemoveShareAccess,func
79,IoSetIoCompletion,func
80,IoSetShareAccess,func
81,IoStartNextPacket,func
82,IoStartNextPacketByKey,func
83,IoStartPacket,func
84,IoSynchronousDeviceIoControlRequest,func
85,IoSynchronousFsdRequest,func
86,IofCallDriver,func
87,IofCompleteRequest,func
88,KdDebuggerEnabled,data
89,KdDebuggerNotPresent,data
90,IoDismountVolume,func
91,IoDismountVolumeByName,func
92,KeAlertResumeThread,func
93,KeAlertThread,func
94,KeBoostPriorityThread,func
95,KeBugCheck,func
96,KeBugCheckEx,func
97,KeCancelTimer,func
98,KeConnectInterrupt,func
99,KeDelayExecutionThread,func
100,KeDisconnectInterrupt,func
101,KeEnterCriticalRegion,func
102,MmGlobalData,data
103,KeGetCurrentIrql,func
104,KeGetCurrentThread,func
105,KeInitializeApc,func
106,KeInitializeDeviceQueue,func
107,KeInitializeDpc,func
108,KeInitializeEvent,func
109,KeInitializeInterrupt,func
110,KeInitializeMutant,func
111,KeInitializeQueue,func
112,KeInitializeSemaphore,func
113,KeInitializeTimerEx,func
114,KeInsertByKeyDeviceQueue,func
115,KeInsertDeviceQueue,func
116,KeInsertHeadQueue,func
117,KeInsertQueue,func
118,KeInsertQueueApc,func
119,KeInsertQueueDpc,func
120,KeInterruptTime,data
121,KeIsExecutingDpc,func
122,KeLeaveCriticalRegion,func
123,KePulseEvent,func
124,KeQueryBasePriorityThread,func
125,KeQueryInterruptTime,func
126,KeQueryPerformanceCounter,func
127,KeQueryPerformanceFrequency,func
128,KeQuerySystemTime,func
129,KeRaiseIrqlToDpcLevel,func
130,KeRaiseIrqlToSynchLevel,func
131,KeReleaseMutant,func
132,KeReleaseSemaphore,func
133,KeRemoveByKeyDeviceQueue,func
134,KeRemoveDeviceQueue,func
135,KeRemoveEntryDeviceQueue,func
136,KeRemoveQueue,func
137,KeRemoveQueueDpc,func
138,KeResetEvent,func
139,KeRestoreFloatingPointState,func
140,KeResumeThread,func
141,KeRundownQueue,func
142,KeSaveFloatingPointState,func
143,KeSetBasePriorityThread,func
144,KeSetDisableBoostThread,func
145,KeSetEvent,func
146,KeSetEventBoostPriority,func
147,KeSetPriorityProcess,func
148,KeSetPriorityThread,func
149,KeSetTimer,func
150,KeSetTimerEx,func
151,KeStallExecutionProcessor,func
152,KeSuspendThread,func
153,KeSynchronizeExecution,func
154,KeSystemTime,data
155,KeTestAlertThread,func
156,KeTickCount,data
157,KeTimeIncrement,data
158,KeWaitForMultipleObjects,func
159,KeWaitForSingleObject,func
160,KfRaiseIrql,func
161,KfLowerIrql,func
162,KiBugCheckData,data
163,KiUnlockDispatcherDatabase,func
164,LaunchDataPage,data
165,MmAllocateContiguousMemory,func
166,MmAllocateContiguousMemoryEx,func
167,MmAllocateSystemMemory,func
168,MmClaimGpuInstanceMemory,func
169,MmCreateKernelStack,func
170,MmDeleteKernelStack,func
171,MmFreeContiguousMemory,func
172,MmFreeSystemMemory,func
173,MmGetPhysicalAddress,func
174,MmIsAddressValid,func
175,MmLockUnlockBufferPages,func
176,MmLockUnlockPhysicalPage,func
177,MmMapIoSpace,func
178,MmPersistContiguousMemory,func
179,MmQueryAddressProtect,func
180,MmQueryAllocationSize,func
181,MmQueryStatistics,func
182,MmSetAddressProtect,func
183,MmUnmapIoSpace,func
184,NtAllocateVirtualMemory,func
185,NtCancelTimer,func
186,NtClearEvent,func
187,NtClose,func
188,NtCreateDirectoryObject,func
189,NtCreateEvent,func
190,NtCreateFile,func
191,NtCreateIoCompletion,func
192,NtCreateMutant,func
193,NtCreateSemaphore,func
194,NtCreateTimer,func
195,NtDeleteFile,func
196,NtDeviceIoControlFile,func
197,NtDuplicateObject,func
198,NtFlushBuffersFile,func
199,NtFreeVirtualMemory,func
200,NtFsControlFile,func
201,NtOpenDirectoryObject,func
202,NtOpenFile,func
203,NtOpenSymbolicLinkObject,func
204,NtProtectVirtualMemory,func
205,NtPulseEvent,func
206,NtQueueApcThread,func
207,NtQueryDirectoryFile,func
208,NtQueryDirectoryObject,func
209,NtQueryEvent,func
210,NtQueryFullAttributesFile,func
211,NtQueryInformationFile,func
212,NtQueryIoCompletion,func
213,NtQueryMutant,func
214,NtQuerySemaphore,func
215,NtQuerySymbolicLinkObject,func
216,NtQueryTimer,func
217,NtQueryVirtualMemory,func
218,NtQueryVolumeInformationFile,func
219,NtReadFile,func
220,NtReadFileScatter,func
221,NtReleaseMutant,func
222,NtReleaseSemaphore,func
223,NtRemoveIoCompletion,func
224,NtResumeThread,func
225,NtSetEvent,func
226,NtSetInformationFile,func
227,NtSetIoCompletion,func
228,NtSetSystemTime,func
229,NtSetTimerEx,func
230,NtSignalAndWaitForSingleObjectEx,func
231,NtSuspendThread,func
232,NtUserIoApcDispatcher,func
233,NtWaitForSingleObject,func
234,NtWaitForSingleObjectEx,func
235,NtWaitForMultipleObjectsEx,func
236,NtWriteFile,func
237,NtWriteFileGather,func
238,NtYieldExecution,func
239,ObCreateObject,func
240,ObDirectoryObjectType,data
241,ObInsertObject,func
242,ObMakeTemporaryObject,func
243,ObOpenObjectByName,func
244,ObOpenObjectByPointer,func
245,ObpObjectHandleTable,data
246,ObReferenceObjectByHandle,func
247,ObReferenceObjectByName,func
248,ObReferenceObjectByPointer,func
249,ObSymbolicLinkObjectType,data
250,ObfDereferenceObject,func
251,ObfReferenceObject,func
252,PhyGetLinkState,func
253,PhyInitialize,func
254,PsCreateSystemThread,func
255,PsCreateSystemThreadEx,func
256,PsQueryStatistics,func
257,PsSetCreateThreadNotifyRoutine,func
258,PsTerminateSystemThread,func
259,PsThreadObjectType,data
260,RtlAnsiStringToUnicodeString,func
261,RtlAppendStringToString,func
262,RtlAppendUnicodeStringToString,func
263,RtlAppendUnicodeToString,func
264,RtlAssert,func
265,RtlCaptureContext,func
